,anio,mes,dia,hora,minuto,segundo,id_estacion,voltaje_sistema,nivel_mar_leveltrol,nivel_mar_burbujeador,sw_1,sw_2,temperatura_agua,nivel_mar_ott_rsl,radiacion_solar,direccion_viento,magnitud_viendo,temperatura_aire,humedad_relativa,presion_atmosferica,precipitacion,voltaje_estacion_met,nivel_mar_sutron
50,2011,1.0,1.0,0.0,51.0,0.0,101.0,12.46,2.049,2.3,0.0,1.0,16.27,9.999,9999.9,999.0,99.9,13.7,999.9,1019.37,999.99,99.9,9.999
51,2011,1.0,1.0,0.0,52.0,0.0,101.0,12.45,2.055,2.282,0.0,1.0,16.27,9.999,9999.9,999.0,99.9,13.7,999.9,1019.38,999.99,99.9,9.999
52,2011,1.0,1.0,0.0,53.0,0.0,101.0,12.45,2.05,2.287,0.0,1.0,16.26,9.999,9999.9,999.0,99.9,13.7,999.9,1019.4,999.99,99.9,9.999
53,2011,1.0,1.0,0.0,54.0,0.0,101.0,12.45,2.056,2.279,0.0,1.0,16.26,9.999,9999.9,999.0,99.9,13.7,999.9,1019.41,999.99,99.9,9.999
54,2011,1.0,1.0,0.0,55.0,0.0,101.0,12.45,2.055,2.272,0.0,1.0,16.26,9.999,9999.9,999.0,99.9,13.7,999.9,1019.4,999.99,99.9,9.999
55,2011,1.0,1.0,0.0,56.0,0.0,101.0,12.45,2.05,2.278,0.0,1.0,16.26,9.999,9999.9,999.0,99.9,13.7,999.9,1019.42,999.99,99.9,9.999
56,2011,1.0,1.0,0.0,57.0,0.0,101.0,12.45,2.048,2.287,0.0,1.0,16.26,9.999,9999.9,999.0,99.9,13.7,999.9,1019.43,999.99,99.9,9.999
57,2011,1.0,1.0,0.0,58.0,0.0,101.0,12.45,2.051,2.278,0.0,1.0,16.27,9.999,9999.9,999.0,99.9,13.7,999.9,1019.43,999.99,99.9,9.999
58,2011,1.0,1.0,0.0,59.0,0.0,101.0,12.44,2.039,2.294,0.0,1.0,16.27,9.999,9999.9,999.0,99.9,13.7,999.9,1019.38,999.99,99.9,9.999
59,2011,1.0,1.0,1.0,0.0,0.0,101.0,12.44,2.047,2.292,0.0,1.0,16.28,9.999,9999.9,999.0,99.9,13.7,999.9,1019.27,999.99,99.9,9.999
