time,bbp_mean,bbp_max,bbp_min,bbp_sd,cdm_mean,cdm_max,cdm_min,cdm_sd,sstt_mean,sst_max,sst_min,sst_sd
2020-12-12,0.002041849750233645,0.014962986,0.00095052575,0.001982605106767919,0.0460710634953271,0.1764146,0.02612035,0.024304017710801606,292.9889048484849,293.5,292.11,0.31383329153994105
2020-12-13,0.0016915308,0.0021410875,0.0010809773,0.0005354888250561475,0.06273754150000001,0.07219936,0.051806416,0.010991235348043873,292.87229806060606,293.31,292.13998,0.24132526675981814
2020-12-14,0.0022077027538834953,0.02124786,0.0010020791,0.0024862093700145933,0.06833332089805826,0.2010752,0.03468847,0.024846514615962222,292.6525401212121,293.08,292.1,0.2465353658150046
2020-12-15,0.0024358758453125002,0.015572416,0.0011479674,0.0017141185039149878,0.0628055816796875,0.14892349,0.023383232,0.02221638548304315,292.5487232727273,293.07,292.0,0.22712995981446668
2020-12-16,0.0018003493552763818,0.006812092,0.0009710445,0.0007729754578458116,0.05865146650753769,0.11095495,0.027201632,0.017211652579791074,292.43029903030305,293.08,291.96,0.1796490966328794
2020-12-17,0.002057584805140187,0.009218956,0.0010113856,0.0010717580738783257,0.057086267070093455,0.13805543,0.02444288,0.026755969680663287,292.51048012121214,293.37,291.9,0.2305316123023329
2020-12-18,0.0017269329669034267,0.0074712572,0.0008533935000000001,0.0008358662367179664,0.05065950835171339,0.134639055,0.02343258,0.025416997177394266,292.48842024242424,293.5,291.87,0.33939424727426776
2020-12-19,0.0013962811286666666,0.0057235584,0.0006954014,0.0005999743995576072,0.04423274963333333,0.13122268,0.02242228,0.024078024674125245,292.35011587878785,293.16,291.53998,0.3276297341437619
2020-12-20,0.0012028965126145833,0.00354122495,0.000699928615,0.00040082514287396364,0.03620033626979167,0.08405707400000001,0.020099565,0.015297265012264482,292.7863589090909,293.84,291.8,0.47829512091285026
2020-12-21,0.0010095118965625,0.0013588915,0.00070445583,0.00020167588619032,0.02816792290625,0.036891468,0.01777685,0.006516505350403718,292.93320618181815,293.59,291.91998,0.3825690108739459
2020-12-22,0.0009911531568390804,0.0020840797,0.0006848807,0.00025083816620921954,0.031243804419540232,0.07419417,0.019490132,0.011167454872472005,292.8476922424243,293.41998,291.9,0.3567701869078457
2020-12-23,0.0010989581023275862,0.00286992315,0.000515939635,0.0004390557881072069,0.03764239181896552,0.10180178000000001,0.0210774725,0.01680596036398697,292.9635696969697,293.71,292.13998,0.3467489978222825
2020-12-24,0.001206763047816092,0.0036557666,0.00034699857,0.0006272734100051943,0.0440409792183908,0.12940939,0.022664813,0.022444465855501937,293.03678327272723,293.72,292.21,0.30725227087449647
2020-12-25,0.00167149566,0.011880785,0.0007643886,0.0014961358722748138,0.03829019237142857,0.09050049,0.021480832,0.018353690043643265,292.893935030303,293.88998,291.85,0.39849942526755155
2020-12-26,0.001623088203038674,0.018048098,0.00089619553,0.0020083875718769897,0.04030783050276243,0.124945834,0.022449562,0.019523062406114736,292.9120556363636,293.77,291.97,0.39353604280384336
2020-12-27,0.0013381957362999998,0.003079784,0.0007832215,0.0006320278554547783,0.026560957649999998,0.05532818,0.012641333,0.010906116801266887,292.93660133333333,293.78,291.57,0.4581182621792371
2020-12-28,0.002195108823571429,0.009222208,0.00089874543,0.0015944219234685834,0.03482207629545454,0.12034058,0.013032677,0.022402484710883276,293.0557536969697,293.82,291.86,0.4303421645100005
2020-12-29,0.0014327055703225807,0.009126751,0.00044989676,0.0013796823709551747,0.03457879202150537,0.11705431,0.0175173,0.018330815216888563,292.95441975757575,293.53,291.66998,0.4564627924247789
2020-12-30,0.0015962959087179487,0.030473936,0.0005254267,0.0036482549950637632,0.04785251505128205,0.1883913,0.026493985,0.03131768573028001,292.6883583030303,293.25998,291.38,0.46244674389970053
2020-12-31,0.0018600803891333333,0.0061545563,0.00083656976,0.0012647966096485943,0.04793135250666667,0.12622431,0.020717736,0.02245444212656395,292.3703581818182,293.13998,291.37,0.4755583473822801
2021-01-01,0.0016137198995721926,0.018076008,0.00076626474,0.00224784111429096,0.05547009922459893,0.19055505,0.027967593,0.03161306497057081,292.225571030303,293.05,291.38998,0.5191298477842621
2021-01-02,0.0018765771285365854,0.009780079,0.0007708155,0.0015506876562825784,0.06252695598536585,0.16763689,0.026053771,0.03495641327205939,292.14138945454545,292.83,291.15,0.48004567026410266
2021-01-03,0.0018747931107246376,0.018189449,0.0008680084,0.0017694719895389951,0.04092735577777778,0.1493278,0.021848686,0.023460301289897484,292.2516930909091,292.97,291.08,0.5066675717246601
2021-01-04,0.0018366457392307693,0.011758386,0.0009052858,0.0016228475200955527,0.04982181003365385,0.17278215,0.025549943,0.02838387286722189,292.0384804848485,292.72,290.9,0.503785360325022
2021-01-05,0.001660038265347092,0.018025933,0.00084208675,0.002043194108299635,0.046743307471095216,0.170843785,0.025357976499999997,0.024817719351819378,292.0644793939394,292.58,291.15,0.40111277303864995
2021-01-06,0.0014834307914634145,0.02429348,0.0007788877,0.002463540696503717,0.04366480490853659,0.16890542,0.02516601,0.021251565836416866,292.26447927272727,292.78,290.77,0.3995068322434902
2021-01-07,0.0010992246728,0.0016894569,0.0006908911,0.00024653689925296934,0.03116673656,0.04638421,0.020653268,0.006894317431599381,292.1767221818182,292.55,290.47,0.3972476437911831
2021-01-08,0.0015572545786111112,0.02843463,0.00072860875,0.0023750611994175054,0.03699825838888889,0.1913495,0.02215294,0.021290338110827575,292.18993418181816,292.53998,290.31,0.40216780946012687
2021-01-09,0.001296665239047619,0.009179885,0.0007907216,0.0009609363992369803,0.03680019169523809,0.13686231,0.023459246,0.01712459039646677,292.3268436363636,292.65,290.82,0.3023601408373543
2021-01-10,0.0013828246152112677,0.010656438,0.00063021877,0.0013649656538622934,0.03942775163380281,0.114659935,0.02444488,0.01746358382929126,292.20011587878787,292.50998,290.6,0.3034306265592223
2021-01-11,0.0027443987867605637,0.013931802,0.00082462176,0.0030237045694021633,0.05606818215492958,0.17159449,0.023833668,0.04124801383136206,292.12453987878786,292.46,290.56,0.29389402941261883
2021-01-12,0.0017196531629189188,0.019075993,0.00065787596,0.0023054713120879418,0.03774653983243243,0.13131629,0.020795947,0.021702746184265695,291.9791473939394,292.28998,290.74,0.2492100258937573
